Label,GAIA ID,Old RA,Old DEC,New RA,New DEC,Observation Time,Plate RA,Plate DEC,Field Size,Angular Distance
E0555,431666134761292672,1.5417686488122073,63.84334683473559,1.5417256447561567,63.84333409541581,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.7546680060294424
E0555,528077533398696704,4.507410998382136,65.56535467410825,4.50734736279722,65.56532803122492,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.038423812436769
E0555,2016128434111638016,359.7806202284989,63.57495480397013,359.7805668875786,63.57494948952924,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.9569255678029673
E0555,2017507427843437568,358.6702778295332,65.36238836581757,358.6702456018528,65.36237404483417,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,1.300767059065366
E0555,432102713900926848,2.4420808318362415,64.75062325542505,2.4420420069638,64.75061941119148,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.0273224551507596
E0555,527806916100785280,7.7973046962387835,66.29274682526953,7.797319355978436,66.29274674189175,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,3.0947545553950926
E0555,2209747071636196864,357.9221144975115,66.14939744012872,357.9220593541324,66.14940049761198,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,0.9460603919107672
E0555,527813276950014720,8.140506462074887,66.45739406695861,8.140460207169415,66.45738892826037,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,3.2130020389038405
E0555,2016203338338434304,359.7018955244792,64.0436101358159,359.7018419182568,64.04358385528462,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.490603183536584
E0555,2016131492128180352,359.68151539824095,63.6615969869891,359.68148339319663,63.66158364535,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.872494169532259
E0555,2017287559879946112,358.05533595632613,64.99570243771042,358.0553284073493,64.99569792464104,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,1.7443012638053803
E0555,2210285523095937024,352.41973669583655,65.92339447128106,352.4196737434949,65.9233530721208,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,3.1453291646061228
E0555,2017497600957836544,357.7355373372162,65.41963979227043,357.73548690806064,65.4196332999938,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,1.4637973930556498
E0555,2209797271213836288,357.8686273406823,66.37530426971769,357.868581121675,66.37530909193782,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,0.8972678363569911
E0555,431902465348190720,3.3802300603029307,64.54171457670114,3.380180861530566,64.54170216012572,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.4110175830453513
E0555,2211052707335161728,356.5524375336663,68.12297813729029,356.5523626296455,68.12296657731883,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.0947915766044547
E0555,431207466614497408,5.45958061739128,64.59510553813594,5.459528857606225,64.59509201360606,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.9463313794507524
E0555,2017497600957836544,357.73553733721633,65.41963979227044,357.73548690806064,65.4196332999938,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,1.4637973930556165
E0555,2017287559879946112,358.0553359563262,64.99570243771043,358.0553284073493,64.99569792464104,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,1.7443012638053474
E0555,2210285523095937024,352.4197366958367,65.92339447128116,352.4196737434949,65.9233530721208,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,3.14532916460604
E0555,431902465348190720,3.380230060303019,64.54171457670117,3.380180861530566,64.54170216012572,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.4110175830453544
E0555,2211052707335161728,356.5524375336664,68.1229781372903,356.5523626296455,68.12296657731883,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.0947915766044374
E0555,431207466614497408,5.459580617391365,64.59510553813597,5.459528857606225,64.59509201360606,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.946331379450761
E0555,432017055072993792,2.733459222876417,64.9631900115195,2.733405283182144,64.96318024585982,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,1.9072937685145206
E0555,431866559420793728,3.395871551782914,64.1648942208352,3.3958278562468878,64.16487894751369,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.7379973721862356
E0555,431902465348190720,3.380230060303092,64.54171457670118,3.380180861530566,64.54170216012572,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.4110175830453624
E0555,2211052707335161728,356.55243753366653,68.12297813729033,356.5523626296455,68.12296657731883,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.0947915766044174
E0555,431207466614497408,5.459580617391453,64.59510553813598,5.459528857606225,64.59509201360606,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.94633137945078
E0555,432017055072993792,2.7334592228765007,64.96319001151952,2.733405283182144,64.96318024585982,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,1.9072937685145155
E0555,431866559420793728,3.3958715517829825,64.16489422083522,3.3958278562468878,64.16487894751369,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.7379973721862156
E0555,431902465348190720,3.380230060303178,64.54171457670121,3.380180861530566,64.54170216012572,1952-08-19T10:11:00,0.08138888888888889,66.52916666666667,6.5,2.4110175830453517
