SOURCE_ID	parallax	ra	dec	mg	mbp	mrp	bp_rp	phot_g_mean_flux	phot_bp_mean_flux	phot_rp_mean_flux	ag_gspphot	ebpminrp_gspphot	pmra	pmdec
2020390828396319232	0.14755564164262056	294.9811406374962	24.212642846826558	-4.699367681352925	-0.8122834356711621	-2.2345933111594425	-0.3706901	156043.4547147779	62840.837237166146	135178.38226507744	3.2484	1.793	-2.975316038024789	-6.088795792702026
2020391270744065280	0.18692082762748274	294.9549553749311	24.209264838270077	-4.728187849599392	-0.6501238847556419	-2.1636851335349387	-0.3567388	226640.37328904527	86852.3718218745	203211.23167895185	3.3855	1.8703	-3.059284364652529	-6.140992158352911
2034059613366473088	0.373619796666001	299.69392855412275	32.515285939578064	-4.672465641073918	2.8362781218960524	-0.0977028198764085	-0.34271908	91671.17110065727	13988.31024055093	121087.44727990919	5.8164	3.2767	0.6998195912446343	0.513211591310015
2007363058696077952	0.23503474926876908	341.63855916956743	57.79729111444279	-4.665393886311671	-2.7483034703570812	-3.3579559895831554	-0.31694746	1598116.7888377903	948423.8871419978	965172.413805922	1.6994	0.9266	-3.191677662636483	-2.4374863813344567
2004621804416739072	0.294708430690322	333.04063527835694	53.69877092444827	-4.669623504510271	-2.995879302850115	-3.496888290276873	-0.318991	3015375.1345931813	1873068.1290828108	1724640.441367212	1.5056	0.82	-3.825748166621126	-3.2321564395557347
1870623703860938624	0.585071183438177	310.6711851827482	36.38084257849805	-4.685849840604314	-2.960599715672979	-3.460102374516973	-0.34919733	11512878.365424851	7146183.368277374	6570773.635369071	1.5563	0.8487	-3.5355299339431845	-5.822807550926654
2163655406783763712	0.1713798694891647	315.36395195644434	46.664564319032046	-4.71492104821732	-1.0021808653407334	-2.3595655470423944	-0.3588153	241944.0202193985	100973.8246252501	204599.333041808	3.1128	1.7162	-4.016584008953234	-2.6480324650661244
2060149134510976896	0.11853638669190544	300.2982800641733	37.093896513817874	-4.688256244310481	-2.8379502102223464	-3.420581321367366	-0.3135689	437313.39094053884	261999.53442059094	260072.29932817994	1.6429	0.8962	-2.8765012751906394	-5.8966445742917895
2067390277529622144	0.513135840773132	306.9552022033417	40.283434527452116	-4.662748831230148	1.0095319571914825	-1.1990442452010956	-0.32492375	552218.2990142378	141928.29312938807	629855.2998316312	4.546	2.5335	-3.0912180495143557	-3.9057999312771123
2008023693389714432	0.21920842049066924	338.7321194882079	58.665946650475554	-4.689217502118033	-1.7973388972291175	-2.8418468775757963	-0.30609202	702276.5265101802	343611.0109258635	521929.11051570345	2.4646	1.3506	-1.1429128123892767	-1.423231128334867
2207557119352686080	0.23792981577599603	347.71020424707746	63.35903574369387	-4.700298077771336	3.2825968196896014	0.0791714122799334	-0.23287463	30227.587900379516	3760.762747892642	41724.13572076604	6.0689	3.4363	-2.0015755721073183	-1.310933620944277
2057561124621727616	0.48424383908874774	305.2766029112063	36.8085029562829	-4.696173057917065	-1.4735718826088373	-2.6312800506386225	-0.34619188	2688463.749984289	1244440.0560138654	2097965.9254204463	2.7351	1.5039	-2.4988510281249328	-5.4565454101805155
2060516302652344704	0.23884019216743535	303.9088845291777	36.793530536761494	-4.679648124793404	-1.924877369025582	-2.858325206855172	-0.35105217	924231.450744142	458757.02452003246	629075.798040553	2.3431	1.2845	-2.1201663468373337	-4.793241415591879
2005971180064658560	0.196362638801839	335.82256501154274	55.63393541626773	-4.710480633433773	-3.1868825585207485	-3.5911126763186	-0.35246986	1545882.748740813	991488.3241401676	835066.5796821769	1.3902	0.7567	-2.2551493971036263	-1.768556156354482
511181926633242624	0.33411883587609753	26.247177400369885	60.8060310031321	-4.655132185949213	-2.5465060587061714	-3.318806778921015	-0.21999925	2872907.0128286052	1591554.1460583112	1881406.7185107875	1.8162	0.9923	-1.0386219527941556	-0.6992010678623547
3289656915346252032	0.6179839879643829	72.51504506805409	8.407826370989685	-4.631553675266378	-4.270425643058889	-4.221142138572805	-0.26558352	35448887.206483066	26640451.00854404	14776427.845841885	0.3998	0.2163	-2.9490550146052796	-4.022783421766159
3423532557792883072	0.21454367898766563	91.56354030431582	22.037499187952033	-4.649875491106109	-2.1947201184864804	-3.122167437517242	-0.21505272	916829.1819185795	474609.475885819	647227.1510019675	2.0891	1.1425	0.04229848483537309	-0.45539258912006486
4319935972430545920	0.23683561515695328	290.4260268482255	15.029253161734212	-4.639315367329127	0.9669663900256094	-1.2188742166638438	-0.3049593	123221.67315336027	31443.03904420966	136647.5698423171	4.4722	2.4908	-2.26072656750871	-5.465302432554027
4282590888178816640	0.3234952033099481	284.2569383154777	5.95036178547131	-4.659398622869867	3.9740065857177793	0.5796136184936582	-0.33570695	34012.768872088825	3677.477331457257	48646.1490647895	6.567	3.7301	-2.1528699041480177	-3.248625897118679
4267554001538519552	0.3128303270782924	286.0596174715926	1.3761209253985134	-4.6383897238431935	2.0550335473360057	-0.568555014675713	-0.31151152	106306.59745167175	20138.22473184777	130977.83448513487	5.2359	2.9351	-0.7393049164087029	-2.9990828566023318
4276785874805656576	0.18630373680610726	277.2949935211128	1.7349821238171004	-4.662338978415093	-0.19975066817339382	-1.8766572538667532	-0.3530934	163277.243851032	56984.96589918218	154975.8664849783	3.6685	2.03	-1.3109468513050782	-4.3368152303916805
2010065383399085056	0.30639809371076954	345.5197126455065	57.54611133691908	-4.620236084183001	-2.7866549942095515	-3.3589225265581844	-0.31633246	2775961.648570892	1669748.661175074	1641720.7316074828	1.6305	0.8886	-1.9798027085181784	-2.3346537715446685
2199024256296085504	0.1558785124722242	330.14093597744005	56.762141012475084	-4.648035823160347	0.038808048909965365	-1.7582138169347612	-0.31967807	98159.82619834093	32023.31095397644	97278.34871791859	3.8195	2.1167	-2.9183045404439243	-2.6241422574021183
2058952728407702272	0.527242272475859	302.73757299114277	35.95313850060205	-4.670791307324382	-3.6180487068834033	-3.806696453923198	-0.35955226	15274386.148624819	10633026.398781102	7342723.5309358	1.0083	0.5482	-3.235885661973665	-6.556729071244584
2006378308595888512	0.23118444731219956	337.5238530074872	54.7901456235374	-4.629834567703844	-3.4224764458318955	-3.712493573822618	-0.3178829	2552453.9857215253	1707358.5476993332	1294412.4640568853	1.1196	0.6079	-3.7952094658396915	-3.3525840319493825
