plate_id,plate_num,emulsion,filter,date_orig,observatory
95879,A1573     ,103aE,RG 1,1951-09-18,Vatican Observatory
95880,A1574     ,103aE,RG 1,1951-09-19,Vatican Observatory
95911,A1674     ,103aE,RG 1,1951-12-04,Vatican Observatory
95914,A1677     ,103a-E,RG 1,1951-12-05,Vatican Observatory
95920,A1683     ,103a-E BACKED,RG 1,1951-12-16,Vatican Observatory
95921,A1684     ,103a-E BACKED,RG 1,1951-12-16,Vatican Observatory
95945,A1712     ,103a-E,RG 1,1951-12-23,Vatican Observatory
95946,A1713     ,103a-E,RG 1,1951-12-23,Vatican Observatory
