plate_id,plate_num,emulsion,filter,date_orig,observatory
64119,ES09328a  ,Kodak 098-04,OG5(=550),1991-07-03,European Southern Observatory
64120,ES09329a  ,Kodak 098-04,OG5(=550),1991-07-03,European Southern Observatory
64121,ES09331a  ,Kodak 098-04,OG5(=550),1991-07-03,European Southern Observatory
64122,ES09333a  ,Kodak 098-04,OG5(=550),1991-07-04,European Southern Observatory
64123,ES09334a  ,Kodak 098-04,OG5(=550),1991-07-04,European Southern Observatory
64124,ES09335a  ,Kodak 098-04,OG5(=550),1991-07-04,European Southern Observatory
64125,ES09336a  ,Kodak 098-04,OG5(=550),1991-07-05,European Southern Observatory
64126,ES09337a  ,Kodak 098-04,OG5(=550),1991-07-05,European Southern Observatory
64127,ES09338a  ,Kodak 098-04,OG5(=550),1991-07-05,European Southern Observatory
64128,ES09342a  ,Kodak 098-04,OG5(=550),1991-07-05,European Southern Observatory
64129,ES09344a  ,Kodak 098-04,OG5(=550),1991-07-07,European Southern Observatory
64130,ES09345a  ,Kodak 098-04,OG5(=550),1991-07-07,European Southern Observatory
64131,ES09357a  ,Kodak 098-04,OG5(=550),1991-07-10,European Southern Observatory
64132,ES09358a  ,Kodak 098-04,OG5(=550),1991-07-10,European Southern Observatory
64133,ES09371a  ,Kodak 098-04,OG5(=550),1991-07-31,European Southern Observatory
64134,ES09374a  ,Kodak 098-04,OG5(=550),1991-08-01,European Southern Observatory
64135,ES09375a  ,Kodak 098-04,OG5(=550),1991-08-01,European Southern Observatory
64136,ES09380a  ,Kodak 098-04,OG5(=550),1991-08-02,European Southern Observatory
64137,ES09383a  ,Kodak 098-04,OG5(=550),1991-08-04,European Southern Observatory
64138,ES09385a  ,Kodak 098-04,OG5(=550),1991-08-04,European Southern Observatory
64139,ES09388a  ,Kodak 098-04,OG5(=550),1991-08-05,European Southern Observatory
64140,ES09390a  ,Kodak 098-04,OG5(=550),1991-08-05,European Southern Observatory
64141,ES09410a  ,Kodak 098-04,OG5(=550),1991-08-28,European Southern Observatory
64142,ES09411a  ,Kodak 098-04,OG5(=550),1991-08-28,European Southern Observatory
64149,ES09436a  ,Kodak 098-04,OG5(=550),1991-09-07,European Southern Observatory
64150,ES09437a  ,Kodak 098-04,OG5(=550),1991-09-07,European Southern Observatory
64151,ES09676a  ,Kodak 098-04,OG5(=550),1992-01-01,European Southern Observatory
64152,ES09682a  ,Kodak 098-04,OG5(=550),1992-01-03,European Southern Observatory
