local_id,ref_number,magcal_magdep,magcal_magdep_rms,limiting_mag_local,pos.ra,pos.dec,fwhm_world,ellipticity,theta_j2000,iso_area_world,aflags,bflags,local_bin_reject_flag,series,platenum,mosnum,solnum,expnum,image_x,image_y,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,magcal_local_error,drad_rms2,extinction,magcor_local,blended_mag,a2flags,b2flags,npoints_local,local_bin_index,spatial_bin,magdep_bin,mag_iso,mag_aper,mag_auto,flux_iso,background,flux_max,fwhm_image,kron_radius,sxt_iso0,sxt_iso1,sxt_iso2,sxt_iso3,sxt_iso4,sxt_iso5,sxt_iso6,sxt_iso7,time_accuracy,catalog_ra,catalog_dec,pm_ra_cosdec,pm_dec,plate_dist,sxt_number,gsc_bin_index,dasch_photdb_version_id,dasch_mask_index,reject,exp_local_id,year
15,420061551442725,12.26155,,12.865009,301.564989,44.456916,0.005775,0.24,82.86,3e-05,128,1349451776,0,i,9114,0,0,0,3723.802,13120.336,12.636541,0.144239,12.26155,0.12519,0.175943,1.033212,0.398,-0.007769,,0,0,75,1460,3,1029,-12.7259,-11.4857,-12.8476,123126.1,3883.494,2338.166,11.6,3.5,118,100,79,61,46,29,14,7,0.0007,301.56485,44.457153,-11.2,-9.2,2.7009,326707,143663284,10,0,0,126,1893.6061943107457
17,420061551442725,12.253015,,14.399347,301.56498,44.457121,0.006095,0.397,84.7,4e-05,0,1349451776,0,i,9512,0,0,0,3336.126,12925.259,12.752763,0.144621,12.253015,0.118535,0.148376,1.536948,0.399,0.07992,,0,0,61,1459,3,1029,-13.355,-11.9843,-13.4059,219789.6,3534.807,2927.079,12.24,4.76,168,158,139,121,93,66,41,26,0.0007,301.56485,44.457153,-11.2,-9.2,2.8661,989645,143663284,10,0,0,142,1893.7236065325123
20,420061551442725,12.519115,,14.039268,301.56485,44.457059,0.006182,0.309,61.33,2.6e-05,0,1349451776,0,i,11180,1,0,0,6473.788,5690.873,12.894443,0.244119,12.519115,0.120927,0.183138,1.948509,0.612,-0.26512,,0,0,44,618,4,880,-12.2263,-10.9436,-12.42,77717.7,4803.158,1266.987,12.42,3.83,103,95,86,74,63,46,34,15,0.0007,301.56485,44.457153,-11.2,-9.2,2.8582,176801,143663284,10,0,0,160,1894.4520543682415
21,420061551442725,12.669748,,13.411345,301.563403,44.456532,0.006122,0.26,69.36,1.9e-05,67108864,1349386243,0,i,11198,1,0,0,4134.495,5731.981,13.325009,0.250735,12.669748,0.167003,0.194681,3.254143,0.549,0.095593,,0,0,54,661,5,878,-11.8486,-10.8462,-11.9213,54882.38,4847.024,1203.397,12.31,3.5,79,73,65,56,44,34,21,6,0.0007,301.56485,44.457153,-11.2,-9.2,3.4633,208514,143663284,10,0,0,164,1894.4657740752907
22,420061551442725,12.360494,,12.963111,301.565072,44.457449,0.009534,0.504,46.58,3.8e-05,128,1349451776,0,i,11325,0,0,0,3938.831,6102.294,12.887383,0.149124,12.360494,0.113553,0.108048,1.66498,0.433,0.074585,,0,0,55,661,5,877,-12.9504,-11.2898,-12.9891,151405.1,3506.853,1955.545,19.17,3.5,154,148,127,112,95,80,65,16,0.0007,301.56485,44.45715,-11.2,-9.2,3.4099,226196,143663284,10,0,0,189,1894.6107069568786
23,420061551442725,12.195517,0.122655,14.151737,301.564797,44.457074,0.004937,0.222,-26.45,1.6e-05,0,1349453824,0,a,820,0,0,0,22943.07,31662.016,12.328189,0.254294,12.14157,0.10746,0.146955,0.832559,0.401,-0.135133,,0,0,89,2086,6,337,-14.1553,-13.3541,-14.2622,459306.1,3524.855,1947.903,27.18,3.5,490,462,397,321,229,146,76,28,0.0075,301.56485,44.45715,-11.2,-9.2,2.6372,504475,143663284,1,0,0,192,1894.6327302258724
25,420061551442725,12.290917,0.140589,13.859773,301.563982,44.457251,0.013138,0.029,-53.25,0.000129,128,1349453824,0,i,11963,0,0,0,3607.462,2892.714,12.518405,0.267563,12.36092,0.161707,0.260663,3.465817,0.422,-0.260959,,0,0,33,310,8,402,-13.9163,-10.6969,-14.0096,368585.3,2814.119,1449.177,26.47,3.5,509,469,413,367,304,200,105,18,0.0007,301.56485,44.45715,-11.2,-9.2,4.7688,87190,143663284,10,0,0,209,1894.8951058343607
28,420061551442725,12.295332,,14.106589,301.564659,44.457279,0.004394,0.267,-53.99,3.2e-05,128,1345257472,0,i,13143,0,0,0,11647.676,15091.497,12.872707,0.135597,12.295332,0.05347,0.132367,1.505573,0.421,0.156375,,0,0,66,1733,3,696,-12.813,-11.6801,-12.8723,133417.6,3600.962,2182.21,8.83,3.63,129,121,105,89,76,59,46,28,0.0007,301.56485,44.45715,-11.2,-9.2,2.5224,405807,143663284,10,0,0,216,1895.5804336563997
29,420061551442725,12.352015,0.110292,14.000791,301.564806,44.457406,0.006821,0.227,35.43,3.7e-05,0,1349454848,0,i,13161,0,0,0,4296.764,5248.258,12.990944,0.245506,12.426744,0.254304,0.152539,1.22483,0.399,0.142848,,0,0,43,562,5,464,-12.9954,-11.4235,-13.0646,157824.1,5943.835,1643.237,13.71,3.5,148,140,131,115,93,78,51,28,0.0007,301.56485,44.45715,-11.2,-9.2,3.6134,123787,143663284,10,0,0,217,1895.5884551567426
30,420061551442725,12.40204,,12.914045,301.564833,44.457231,0.007956,0.315,53.19,4.8e-05,128,1349451776,0,i,13301,1,0,0,4501.985,4619.053,13.037995,0.200757,12.40204,0.152645,0.147429,0.813498,0.406,0.189315,,0,0,58,512,6,845,-12.7447,-10.9044,-12.8212,125282.1,6036.712,1158.688,16.0,3.5,191,182,161,141,117,93,67,44,0.0007,301.56485,44.45715,-11.2,-9.2,3.7948,113907,143663284,10,0,0,219,1895.6649946064333
